Time since maneuver start,Ingame Time,Velocity
0,3579.24,1633.54656
1,3580.28,1633.32132
2,3581.3,1633.10017
3,3582.38,1632.86591
4,3583.44,1632.63592
5,3587.04,1631.8543
6,3588.08,1631.62835
7,3589.14,1631.39799
8,3590.18,1631.17191
9,3591.22,1630.94576
10,3592.28,1630.7152
11,3593.32,1630.48893
12,3594.38,1630.25825
13,3595.42,1630.03186
14,3596.48,1629.80105
15,3597.52,1629.57453
16,3598.58,1629.34361
17,3599.62,1629.11698
18,3600.66,1628.89029
19,3601.7,1628.66355
20,3602.74,1628.43675
21,3603.78,1628.2099
22,3604.82,1627.98299
23,3605.88,1627.75167
24,3606.94,1627.52029
25,3608.0,1627.28885
26,3609.04,1627.06174
27,3610.1,1626.8302
28,3611.14,1626.60299
29,3612.2,1626.37135
30,3613.24,1626.14403
31,3614.28,1625.91667
32,3615.32,1625.68927
33,3616.36,1625.46181
34,3617.4,1625.23432
35,3618.44,1625.00678
36,3619.48,1624.77919
37,3620.52,1624.55157
38,3621.56,1624.3239
39,3622.62,1624.09181
40,3623.68,1623.85968
41,3624.72,1623.63189
42,3625.76,1623.40406
43,3626.8,1623.17619
44,3627.84,1622.94829
45,3628.88,1622.72035
46,3629.94,1622.48799
47,3630.98,1622.25998
48,3632.04,1622.02755
49,3633.1,1621.79508
50,3634.16,1621.56258
51,3635.2,1621.33444
52,3636.24,1621.10626
53,3637.3,1620.87367
54,3638.34,1620.64543
55,3639.38,1620.41716
56,3640.44,1620.18448
57,3641.48,1619.95616
58,3642.52,1619.72781
59,3643.58,1619.49505
60,3644.62,1619.26665
61,3645.68,1619.03384
62,3646.72,1618.80539
63,3647.76,1618.57692
64,3648.8,1618.34843
65,3649.84,1618.11992
66,3650.88,1617.89139
67,3651.92,1617.66283
68,3652.98,1617.42987
69,3654.02,1617.20128
70,3655.06,1616.97267
71,3656.12,1616.73965
72,3657.16,1616.51101
73,3658.22,1616.27795
74,3659.26,1616.04928
75,3660.32,1615.8162
76,3661.36,1615.5875
77,3662.4,1615.35878
78,3663.44,1615.13005
79,3664.48,1614.93807
80,3665.5,1614.8252
